"Año";"Periodo";"Canarias﻿";"Cataluña﻿";"Comunidad Valenciana﻿";"Islas Baleares﻿";"Comunidad de Madrid﻿";"Andalucía﻿"
"2021";"Julio";"414.244";"814.310";"607.214";"1.320.144";"219.035";"554.924"
"2021";"Agosto";"569.207";"1.075.887";"753.864";"1.307.422";"231.052";"698.992"
"2021";"Septiembre";"611.161";"867.500";"641.452";"1.167.388";"258.039";"687.383"
"2021";"Octubre";"994.249";"855.170";"641.189";"1.009.908";"362.058";"811.534"
"2021";"Noviembre";"1.013.292";"604.925";"383.274";"148.123";"375.379";"485.504"
"2021";"Diciembre";"902.961";"558.631";"383.074";"114.640";"292.869";"332.828"
"2022";"Enero";"759.765";"463.661";"281.261";"83.120";"247.982";"323.896"
"2022";"Febrero";"968.004";"619.390";"393.280";"149.626";"282.713";"425.307"
"2022";"Marzo";"1.123.641";"703.849";"490.751";"306.962";"446.352";"609.437"
"2022";"Abril";"1.110.097";"1.157.526";"783.987";"1.070.195";"545.975";"907.596"
"2022";"Mayo";"883.472";"1.463.558";"791.683";"1.630.559";"568.155";"1.036.243"
"2022";"Junio";"900.683";"1.610.468";"834.998";"1.958.645";"605.218";"1.009.404"
"2022";"Julio";"1.028.960";"1.980.246";"1.125.829";"2.273.064";"625.696";"1.119.763"
"2022";"Agosto";"1.035.410";"1.891.176";"1.058.896";"2.185.548";"446.720";"1.285.299"
"2022";"Septiembre";"928.855";"1.652.459";"945.556";"1.897.256";"598.523";"1.115.222"
"2022";"Octubre";"1.184.501";"1.483.599";"865.908";"1.352.359";"688.517";"1.049.705"
"2022";"Noviembre";"1.185.851";"962.715";"520.350";"165.403";"541.889";"593.559"
"2022";"Diciembre";"1.219.933";"814.540";"514.415";"130.799";"440.848";"536.078"
"2023";"Enero";"1.204.177";"798.331";"480.302";"128.515";"528.543";"571.873"
"2023";"Febrero";"1.230.378";"924.464";"483.006";"181.766";"453.469";"611.588"
;;;;;;;
;;;;;;;
"Métrica":"Canarias﻿"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Cataluña﻿"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Comunidad Valenciana﻿"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Islas Baleares﻿"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Comunidad de Madrid﻿"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Métrica":"Andalucía﻿"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;
;;;;;;;
"Url":"https://www.epdata.es/cataluna-principal/3b0fc842-14e8-4030-b317-b8c7ce714207"
"Titulo":"Principales regiones de destino de los turistas extranjeros"
"Subtitulo":"Evolución de la llegada de turistas extranjeros por principales comunidades autónomas"
